,actor_name,star_count,total_revenue,avg_revenue
2231,Samuel L. Jackson,71,16963905980,238928253.23943663
62,Bruce Willis,60,8357610868,139293514.46666667
1892,Matt Damon,57,8251234983,144758508.47368422
380,Robert De Niro,56,5640624730,100725441.60714285
192,Morgan Freeman,55,9473613092,172247510.76363635
2963,Nicolas Cage,51,5097555136,99952061.49019608
3896,Liam Neeson,50,9290472753,185809455.06
287,Brad Pitt,50,7362616569,147252331.38
884,Steve Buscemi,47,7253648636,154332949.70212767
5293,Willem Dafoe,46,7633395090,165943371.52173913
1230,John Goodman,45,7926515897,176144797.7111111
18999,J.K. Simmons,45,7564639708,168103104.62222221
85,Johnny Depp,45,10621340662,236029792.4888889
3131,Antonio Banderas,43,5037683615,117155432.90697674
887,Owen Wilson,41,7022868440,171289474.14634147
1231,Julianne Moore,41,4080439574,99522916.43902439
1204,Julia Roberts,41,5495531203,134037346.41463415
16483,Sylvester Stallone,41,6032173050,147126171.9512195
31,Tom Hanks,41,9790171889,238784680.2195122
500,Tom Cruise,40,9987500186,249687504.65
65827,Keith David,40,3615198094,90379952.35
1461,George Clooney,40,5116923261,127923081.525
7399,Ben Stiller,39,6937787754,177891993.69230768
13242,Paul Giamatti,39,5563497087,142653771.46153846
17051,James Franco,39,5811628126,149016105.7948718
7447,Alec Baldwin,39,5385457303,138088648.7948718
5723,John Leguizamo,39,5572091152,142874132.1025641
2283,Stanley Tucci,39,9451553915,242347536.2820513
15831,Frank Welker,38,12997455549,342038303.92105263
57755,Woody Harrelson,38,6484431937,170642945.71052632
880,Ben Affleck,37,5540364683,149739586.02702704
4690,Christopher Walken,37,3894847187,105266140.1891892
2157,Robin Williams,36,6015843961,167106776.69444445
28633,Richard Jenkins,36,4035484662,112096796.16666667
2282,Ben Kingsley,36,5329656253,148046007.0277778
1532,Bill Murray,36,4351143470,120865096.3888889
2178,Forest Whitaker,36,3361219687,93367213.52777778
5292,Denzel Washington,35,3931830387,112338011.05714285
2975,Laurence Fishburne,35,5615647624,160447074.97142857
1100,Arnold Schwarzenegger,35,5769345423,164838440.65714285
10297,Matthew McConaughey,35,3828354071,109381544.88571429
4764,John C. Reilly,35,4919377034,140553629.54285714
3061,Ewan McGregor,34,8027064173,236090122.7352941
3895,Michael Caine,34,7868698227,231432300.79411766
2983,Mark Strong,34,3087324334,90803656.88235295
1269,Kevin Costner,34,4538497179,133485211.14705883
776,Eddie Murphy,33,6626387731,200799628.21212122
70851,Jack Black,33,5928957027,179665364.45454547
13240,Mark Wahlberg,33,5806643533,175958894.93939394
228,Ed Harris,33,3693598405,111927224.39393939
69597,Drew Barrymore,33,3503674156,106171944.12121212
15033,Justin Long,33,3482320124,105524852.24242425
64,Gary Oldman,33,10505363162,318344338.24242425
