,director,count,total_revenue,avg_revenue
1,George Lucas,3,2423715886,807905295.3333334
7,Andrew Stanton,4,2774357385,693589346.25
24,Robert Zemeckis,16,4126518221,257907388.8125
39,Sam Mendes,7,2713548809,387649829.85714287
42,Lars von Trier,6,80004033,13334005.5
59,Luc Besson,9,772081708,85786856.44444445
108,Peter Jackson,11,6528244659,593476787.1818181
138,Quentin Tarantino,9,1526668694,169629854.8888889
172,Michael Winterbottom,3,20908494,6969498.0
190,Clint Eastwood,23,2960549936,128719562.43478261
201,Michel Gondry,5,322023617,64404723.4
223,Alejandro González Iñárritu,5,852832085,170566417.0
224,David Cronenberg,10,258016090,25801609.0
280,Terry Gilliam,9,442870661,49207851.222222224
309,Pedro Almodóvar,7,269401506,38485929.428571425
323,Curtis Hanson,4,430499764,107624941.0
366,James Mangold,7,1685749738,240821391.14285713
455,Paul Haggis,4,180849703,45212425.75
468,Stephen Daldry,4,319865001,79966250.25
488,Steven Spielberg,26,8437623045,324523963.2692308
508,David Koepp,4,175548417,43887104.25
510,Tim Burton,18,4032916124,224050895.7777778
518,Danny DeVito,3,110697523,36899174.333333336
525,Christopher Nolan,10,4747408665,474740866.5
564,Richard Linklater,13,349675637,26898125.923076924
578,Ridley Scott,22,3812597439,173299883.5909091
607,Zhang Yimou,5,608655389,121731077.8
608,Hayao Miyazaki,7,995897072,142271010.2857143
638,Michael Mann,10,1036645457,103664545.7
648,Philip Kaufman,4,63762682,15940670.5
664,Frank Marshall,4,362420184,90605046.0
716,Emile Ardolino,3,447679418,149226472.66666666
769,Martin Brest,5,639075646,127815129.2
865,Michael Bay,13,6437466781,495189752.38461536
880,Ben Affleck,4,443648518,110912129.5
893,Tony Scott,14,2107988214,150570586.7142857
956,Guy Ritchie,8,1226756955,153344619.375
957,Matthew Vaughn,5,1011574813,202314962.6
1032,Martin Scorsese,15,1936398316,129093221.06666666
1035,Paul Schrader,5,9203198,1840639.6
1071,Tom Tykwer,5,334304661,66860932.2
1090,John McTiernan,8,1170400300,146300037.5
1108,Shane Black,3,1294013360,431337786.6666667
1150,Brian De Palma,15,968675738,64578382.53333333
1152,Oliver Stone,17,1372859654,80756450.23529412
1176,Lone Scherfig,3,97659755,32553251.666666668
1201,Garry Marshall,9,1516322347,168480260.7777778
1215,Raja Gosnell,8,1745751745,218218968.125
1223,Joel Coen,13,1054635618,81125816.76923077
1243,Woody Allen,18,805130482,44729471.222222224
1269,Kevin Costner,3,510131375,170043791.66666666
1270,Charles Martin Smith,3,170973429,56991143.0
1461,George Clooney,12,590987028,49248919.0
1524,Harold Ramis,7,529244947,75606421.0
1577,Richard Kelly,3,34978796,11659598.666666666
1614,Ang Lee,10,1427636464,142763646.4
1704,Gore Verbinski,10,3575339236,357533923.6
1723,Walter Hill,11,431161505,39196500.45454545
1724,Roger Spottiswoode,4,436579248,109144812.0
1769,Sofia Coppola,5,235196244,47039248.8
1776,Francis Ford Coppola,9,560783406,62309267.333333336
1884,Steven Soderbergh,17,2161475163,127145597.8235294
1927,Blake Edwards,5,61846184,12369236.8
1978,Iain Softley,4,207344060,51836015.0
2034,Danny Boyle,9,789005256,87667250.66666667
